Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;211;2,11131;99801;0,9997972;85,459
1;99789;16;0,15602;99781;0,9998514;84,638
2;99773;14;0,14124;99766;0,9998662;83,652
3;99759;13;0,12646;99753;0,9998809;82,663
4;99747;11;0,11168;99741;0,9999273;81,674
5;99735;3;0,03373;99734;0,9999590;80,683
6;99732;5;0,04833;99730;0,9999444;79,685
7;99727;6;0,06293;99724;0,9999298;78,689
8;99721;8;0,07753;99717;0,9999152;77,694
9;99713;9;0,09213;99709;0,9999014;76,700
10;99704;10;0,10500;99699;0,9998878;75,707
11;99694;12;0,11936;99688;0,9998735;74,715
12;99682;13;0,13373;99675;0,9998625;73,724
13;99668;14;0,14135;99661;0,9998582;72,734
14;99654;14;0,14224;99647;0,9998676;71,744
15;99640;12;0,12257;99634;0,9998771;70,754
16;99628;12;0,12332;99622;0,9998763;69,763
17;99616;12;0,12408;99609;0,9998704;68,771
18;99603;13;0,13520;99597;0,9998541;67,780
19;99590;16;0,15667;99582;0,9998131;66,789
20;99574;22;0,21718;99563;0,9997697;65,799
21;99553;24;0,24336;99540;0,9997436;64,813
22;99528;27;0,26954;99515;0,9997317;63,829
23;99502;27;0,26699;99488;0,9997487;62,846
24;99475;23;0,23571;99463;0,9998176;61,863
25;99451;13;0,12913;99445;0,9998807;60,877
26;99439;11;0,10937;99433;0,9999005;59,885
27;99428;9;0,08961;99423;0,9999075;58,892
28;99419;9;0,09548;99414;0,9998888;57,897
29;99409;13;0,12697;99403;0,9998127;56,902
30;99397;25;0,24756;99384;0,9997278;55,909
31;99372;29;0,29676;99357;0,9996786;54,923
32;99343;34;0,34595;99325;0,9996410;53,939
33;99308;37;0,37213;99290;0,9996263;52,958
34;99271;37;0,37529;99253;0,9996512;51,977
35;99234;32;0,32223;99218;0,9996764;50,997
36;99202;32;0,32492;99186;0,9996737;50,013
37;99170;32;0,32762;99154;0,9996623;49,029
38;99137;34;0,34769;99120;0,9996336;48,045
39;99103;38;0,38514;99084;0,9995867;47,061
40;99065;44;0,44148;99043;0,9995390;46,079
41;99021;48;0,48060;98997;0,9994998;45,100
42;98973;51;0,51972;98948;0,9994506;44,121
43;98922;57;0,57907;98893;0,9993811;43,144
44;98865;65;0,65865;98832;0,9993037;42,168
45;98800;73;0,73392;98763;0,9992265;41,196
46;98727;80;0,81304;98687;0,9991474;40,226
47;98647;88;0,89215;98603;0,9990438;39,258
48;98559;101;1,02021;98509;0,9988913;38,293
49;98458;118;1,19721;98399;0,9986767;37,331
50;98340;143;1,44958;98269;0,9984571;36,375
