"eta" "m" "f" "tot"
"1" 0 57 58 115
"2" 1 79 51 130
"3" 2 65 64 129
"4" 3 89 67 156
"5" 4 79 76 155
"6" 5 62 53 115
"7" 6 82 60 142
"8" 7 53 62 115
"9" 8 74 55 129
"10" 9 67 50 117
"11" 10 58 64 122
"12" 11 61 63 124
"13" 12 56 54 110
"14" 13 64 48 112
"15" 14 67 49 116
"16" 15 64 48 112
"17" 16 53 59 112
"18" 17 53 52 105
"19" 18 61 41 102
"20" 19 56 47 103
"21" 20 47 44 91
"22" 21 39 54 93
"23" 22 64 51 115
"24" 23 69 50 119
"25" 24 40 53 93
"26" 25 51 47 98
"27" 26 57 66 123
"28" 27 54 59 113
"29" 28 47 53 100
"30" 29 65 61 126
"31" 30 78 78 156
"32" 31 86 86 172
"33" 32 58 74 132
"34" 33 66 67 133
"35" 34 87 81 168
"36" 35 88 106 194
"37" 36 91 109 200
"38" 37 96 103 199
"39" 38 109 132 241
"40" 39 134 125 259
"41" 40 121 124 245
"42" 41 133 113 246
"43" 42 132 119 251
"44" 43 122 103 225
"45" 44 121 115 236
"46" 45 116 121 237
"47" 46 129 113 242
"48" 47 131 98 229
"49" 48 100 102 202
"50" 49 122 118 240
"51" 50 101 115 216
"52" 51 112 109 221
"53" 52 109 85 194
"54" 53 79 111 190
"55" 54 85 89 174
"56" 55 91 84 175
"57" 56 83 80 163
"58" 57 84 82 166
"59" 58 61 72 133
"60" 59 44 76 120
"61" 60 58 62 120
"62" 61 66 57 123
"63" 62 70 70 140
"64" 63 65 68 133
"65" 64 43 58 101
"66" 65 53 61 114
"67" 66 66 71 137
"68" 67 77 66 143
"69" 68 65 79 144
"70" 69 34 43 77
"71" 70 47 50 97
"72" 71 50 62 112
"73" 72 58 58 116
"74" 73 46 40 86
"75" 74 42 72 114
"76" 75 60 55 115
"77" 76 43 51 94
"78" 77 48 44 92
"79" 78 36 53 89
"80" 79 36 44 80
"81" 80 46 38 84
"82" 81 19 47 66
"83" 82 29 32 61
"84" 83 20 31 51
"85" 84 20 31 51
"86" 85 18 36 54
"87" 86 10 29 39
"88" 87 12 16 28
"89" 88 9 21 30
"90" 89 5 16 21
"91" 90 7 15 22
"92" 91 5 11 16
"93" 92 2 14 16
"94" 93 2 8 10
"95" 94 3 3 6
"96" 95 0 3 3
"97" 96 0 4 4
"98" 97 1 3 4
"99" 98 0 1 1
"100" 99 1 1 2
"101" 100 1 4 5
